GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000000708.14	596.72,621.88,392	370,453.68,468.89
ENSMUSG00000000711.3	454,565.64,472	411,599.56,567.13
ENSMUSG00000000724.10	0,0,0	0,0,0
ENSMUSG00000000730.13	0,3,0	4,0,1
ENSMUSG00000000731.15	0,0,0	0,0,0
ENSMUSG00000000732.9	50,35,52	20,28,30
ENSMUSG00000000738.18	262,144,333	245,339,373
ENSMUSG00000000739.14	34,37,17	4,8,4
ENSMUSG00000000740.12	1490.22,2687.54,1571.91	2671.95,3802.96,3396.52
ENSMUSG00000000743.9	275,276,315	298,465,420.76
ENSMUSG00000000751.13	270,243,302	186,350,351
ENSMUSG00000000753.15	1443,10635,3664	731,998,424
ENSMUSG00000000759.14	146,144,112	96,151,138
ENSMUSG00000000766.18	0,0,0	0,0,0
ENSMUSG00000000776.13	71,103,103	151,202,124
ENSMUSG00000000782.15	6,0,4	4,2,1
ENSMUSG00000000787.12	1122,937,1017	1360,1287,1621
ENSMUSG00000000791.9	0,0,0	0,0,0
ENSMUSG00000000792.2	2,0,0	0,1,2
ENSMUSG00000000794.9	33,27,47	112,52,60
ENSMUSG00000000804.14	216,254,133	169,203,241
ENSMUSG00000000805.18	67,6,45	8,16,16
ENSMUSG00000000811.13	75,34,70	58,59,68
ENSMUSG00000000817.10	0,0,0	0,0,0
ENSMUSG00000000823.16	218,312,223	219,230,283
ENSMUSG00000000826.16	568,465,440	616,757,848
ENSMUSG00000000827.18	185,303,181	227,297,251
ENSMUSG00000000838.17	146,220,97	105,102,100
ENSMUSG00000000861.15	2,7,2	4,2,0
ENSMUSG00000000869.12	0,0,0	0,0,0
ENSMUSG00000000876.11	113,118,74	43,60,56
ENSMUSG00000000881.12	36,136,54	23,34,37
ENSMUSG00000000884.17	17,8,12	20,20.4,18
ENSMUSG00000000889.8	0,0,0	0,0,0
ENSMUSG00000000901.17	61,81,41	16,44,25
ENSMUSG00000000902.13	140,190,73	189,277,202
ENSMUSG00000000903.3	0,0,0	3,0,0
ENSMUSG00000000915.15	209,312,119	106,152,179
ENSMUSG00000000916.15	32,23,49	73,66,69
ENSMUSG00000000934.9	33,15,28	50,61,48
ENSMUSG00000000938.11	94,230,180	79,97,93
ENSMUSG00000000942.10	5,3,1	7,12,11
ENSMUSG00000000948.16	0,0,0	0,0,1.06
ENSMUSG00000000957.11	210,426,324	245,309,219
ENSMUSG00000000958.10	14,83,9	20,28,21
ENSMUSG00000000959.7	146,105,205	193,243,259
ENSMUSG00000000976.13	129,134,63	101,109,102
ENSMUSG00000000982.5	0,0,0	0,0,0
ENSMUSG00000000983.13	0,0,0	0,0,0
ENSMUSG00000001014.6	0,0,0	0,0,1
ENSMUSG00000001016.12	111,181,89	225,239,224
ENSMUSG00000001017.15	488,521,465	582,684,709
ENSMUSG00000001018.15	226,191,225	216,324,305
ENSMUSG00000001020.8	207,806,478	212,215,200
ENSMUSG00000001021.12	0,0,0	0,0,4
ENSMUSG00000001023.10	0,7,0	0,0,0
ENSMUSG00000001025.8	527,1295,462	604,719,617
ENSMUSG00000001027.7	932,9,1099	1228,1457,2042
ENSMUSG00000001029.15	50,51,30	40,54,70
ENSMUSG00000001034.17	80,195,68	58,79,54
ENSMUSG00000001036.17	445,444,325	238,275,325
ENSMUSG00000001039.12	10,24,2	9,17,9
ENSMUSG00000001052.15	253,298,156	250,251,322
ENSMUSG00000001053.15	96,61,107	98,114,103
ENSMUSG00000001054.9	92,118,104	112,114,92
ENSMUSG00000001056.3	46,37,59	241,261,257
ENSMUSG00000001062.18	89,95,89	93,127,109
ENSMUSG00000001065.15	199,207,137	75,98,94
ENSMUSG00000001076.7	0,0,0	0,0,0
ENSMUSG00000001082.12	62,72,55	49,65,55
ENSMUSG00000001089.14	505,668,381	389,474,462
ENSMUSG00000001095.5	0,0,0	0,0,0
ENSMUSG00000001098.15	538,568,396	364,493,419
ENSMUSG00000001100.10	302,264,465	370,562,518
ENSMUSG00000001103.7	0,0,0	0,0,0
ENSMUSG00000001105.15	55,140,56	68,76,52
ENSMUSG00000001119.7	2329,8013,3769	2024,2315,1647
ENSMUSG00000001120.15	25,36,19	57,62,77
ENSMUSG00000001123.15	97,153,91	74,73,65
ENSMUSG00000001127.12	328,294,206	186,275,306
ENSMUSG00000001128.7	59,89,26	137,108,121
ENSMUSG00000001131.11	40,88,48	157,167,102
ENSMUSG00000001134.9	22.54,3.66,65.95	19.64,40.21,42.42
ENSMUSG00000001138.13	195,338,117	83,140,121
ENSMUSG00000001143.13	110,114,88	124,186,195
ENSMUSG00000001150.7	321,363,281	197,309,352
ENSMUSG00000001151.10	934,671,1098	626,954,1228
ENSMUSG00000001155.13	0,0,0	0,0,0
ENSMUSG00000001156.9	49,139,71	32,30,41
ENSMUSG00000001157.13	27,41,38	27,19,27
ENSMUSG00000001158.13	96,80,80	112,135,138
ENSMUSG00000001166.17	1,7,2	2,8,0
ENSMUSG00000001168.16	0,0,0	0,0,0
ENSMUSG00000001173.15	93,168,112	103,118,132
ENSMUSG00000001175.14	1511,1449,1078	1463,1796,1921
ENSMUSG00000001211.15	763,563,692	1086,1696,1669
ENSMUSG00000001225.12	0,0,0	0,0,0
ENSMUSG00000001227.12	230,181,132	93,112,134
ENSMUSG00000001228.14	15,23,16	26.61,50,34
ENSMUSG00000001229.9	234,303,210	254,320,297
ENSMUSG00000001240.13	233,361,172	58,100,95
ENSMUSG00000001247.16	36,12,22	18,10,17
ENSMUSG00000001248.15	247,399,241	132,209,230
ENSMUSG00000001249.14	42,1,62	10,13,23
ENSMUSG00000001260.10	0,0,0	0,0,0
ENSMUSG00000001270.9	210,439.18,288	129,218.81,155.9
ENSMUSG00000001280.13	544,921,452	416,512,464
ENSMUSG00000001281.10	17,83,24	25,38,19
ENSMUSG00000001285.12	60,138,27	49,71,70
ENSMUSG00000001288.15	295,1190,317	149,244,152
ENSMUSG00000001289.12	276,277,253.67	253,382,338
ENSMUSG00000001300.16	235,143,187	122,148,186
ENSMUSG00000001305.5	41,55,47	68,93,90
ENSMUSG00000001313.12	31,62,25	28,29,44
ENSMUSG00000001323.17	108,149,62	51,70,94
ENSMUSG00000001333.9	158,11,295	341,458,533
ENSMUSG00000001334.9	322,6,545	181,281,253
ENSMUSG00000001348.15	199,544,112	34,22,74
ENSMUSG00000001349.5	292,4,0	22,117,68
ENSMUSG00000001366.14	191,192,168	166,232,289
ENSMUSG00000001376.17	132,84,64	116,138,145
ENSMUSG00000001380.6	120,168,133	223,298,234
ENSMUSG00000001383.8	88,92,107	109,139,122
ENSMUSG00000001403.13	5,0,4	3,7,16
ENSMUSG00000001415.10	320,310,287	624,858,627
ENSMUSG00000001416.13	384,422,354	1018,1232,1196
ENSMUSG00000001418.13	110,283,141	106,178,131
ENSMUSG00000001419.17	950,757,1288	1379,1595,1804
ENSMUSG00000001420.13	4,2,0	3,2,3
ENSMUSG00000001424.14	463,1019,473	723,906,881
ENSMUSG00000001435.15	1007,477,604	621,867,844
ENSMUSG00000001436.15	34,102,28	44,57,42
ENSMUSG00000001440.5	710,899,716	1147,1370,1490
ENSMUSG00000001441.13	493,436,458	537,700,707
ENSMUSG00000001444.2	2,5,0	2,0,3
ENSMUSG00000001445.10	118,129,127	139,201,174
ENSMUSG00000001467.5	53,77,53	65,61,76
ENSMUSG00000001472.17	1046,1379,908	993,1061,1129
ENSMUSG00000001473.6	136,226,134	1415,1814,1705
ENSMUSG00000001482.15	185,190,175	109,178,197
ENSMUSG00000001493.9	139,390,256	126,186,98
ENSMUSG00000001494.6	1,18,0	0,0,0
ENSMUSG00000001496.15	0,0,0	0,0,0
ENSMUSG00000001497.18	0,6,1	1,4,0
ENSMUSG00000001504.10	0,0,2	0,0,3
ENSMUSG00000001506.10	50925,315250,169794	12992,15723,13997
ENSMUSG00000001507.16	223,61,54	349,265,349
ENSMUSG00000001508.15	314,1,431	346,529,488
ENSMUSG00000001510.8	0,4,0	0,0,1
ENSMUSG00000001517.14	17,15,20	14,19,42
ENSMUSG00000001518.12	48,104,123	118,132,104
ENSMUSG00000001520.12	64,16,4	6.85,17,27.35
ENSMUSG00000001521.12	104,248,130	69,113,83
ENSMUSG00000001524.14	31,93,56	73,133,109
ENSMUSG00000001525.10	866,1493,778	1872,2447,2357
ENSMUSG00000001542.7	95,148,107	122,143,188
ENSMUSG00000001552.14	735,611,858	646,710,752
ENSMUSG00000001555.10	221,909,245	186,192,143
ENSMUSG00000001558.5	0,2,0	0,0,0
ENSMUSG00000001566.9	0,0,0	0,0,0
ENSMUSG00000001569.10	176,133,147	171,209,228
ENSMUSG00000001576.14	240,576,383	447,547,478
ENSMUSG00000001583.13	3,6,2	0,1,2
ENSMUSG00000001588.12	6,0,0	0,3,1
ENSMUSG00000001604.14	433,105,427	256,385,368
ENSMUSG00000001622.15	0,0,0	0,0,0
ENSMUSG00000001627.12	319,257,446	910,781,916
ENSMUSG00000001630.13	182.36,285.01,135	74.3,98,114.92
ENSMUSG00000001632.16	186,323,250	234,255,268
ENSMUSG00000001642.18	385.14,197,433.77	425.39,533.08,461.22
ENSMUSG00000001655.6	2,0,6	1,1,1
ENSMUSG00000001656.3	44,47,58	59,75,86
ENSMUSG00000001657.7	3,25,14	5,8,8
