GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000003038.15	188.7,295.42,224.17	255.5,301.89,290.61
ENSMUSG00000003039.9	128,198,66	82,122,112
ENSMUSG00000003051.13	7,0,6	18,1,20
ENSMUSG00000003053.17	0,0,0	0,0,0
ENSMUSG00000003062.13	51,87,38	37,75,59
ENSMUSG00000003068.16	603,503,605	377,591,517
ENSMUSG00000003070.6	13,16,3	4,2,4
ENSMUSG00000003072.15	835,417,1031	1240,1808,1662
ENSMUSG00000003099.11	189,217,293	265,421,427
ENSMUSG00000003119.14	301,579,263	287,274,308
ENSMUSG00000003123.15	1181,2174,754	172,352,568
ENSMUSG00000003131.7	236,332,246	263,313,301
ENSMUSG00000003134.10	170,134,109	78,113,87
ENSMUSG00000003135.15	106,104,98	160,168,191
ENSMUSG00000003153.10	42,41,31	20,16,18
ENSMUSG00000003154.15	355,427,355	241,341,314
ENSMUSG00000003161.15	153,253,140	106,153,80
ENSMUSG00000003166.20	316.81,466.73,309	296,407.93,392
ENSMUSG00000003184.15	134,216,143	110,119,153
ENSMUSG00000003190.12	33,43,30	26,22,31
ENSMUSG00000003198.10	18.4,19,7.66	18.4,19.8,12.32
ENSMUSG00000003199.16	157,157,205	64,147,95
ENSMUSG00000003200.10	193,414,191	174,225,161
ENSMUSG00000003206.7	0,0,5	1,1,0
ENSMUSG00000003208.9	29,48,47	43.94,45,45
ENSMUSG00000003226.7	1053,817,828	1143,767,1224
ENSMUSG00000003227.4	9,5,6	2,1,0
ENSMUSG00000003228.8	162,237,115	136,170,146
ENSMUSG00000003233.12	254,415,291	260,338,328
ENSMUSG00000003234.16	228,205,278	277,347,350
ENSMUSG00000003235.13	185,177,191	307,508,439
ENSMUSG00000003269.17	133,244,156	113,160,133
ENSMUSG00000003271.17	0,0,0	1,0,0
ENSMUSG00000003273.14	21,20,6	1,7,7
ENSMUSG00000003279.17	5,20,0	2,0,1
ENSMUSG00000003282.9	9,17,0	1,1,4
ENSMUSG00000003283.14	5,0,18	11,20,10
ENSMUSG00000003299.10	134,90,199	191,233,183
ENSMUSG00000003308.15	330,433,363	398,474,526
ENSMUSG00000003309.14	0,0,0	0,0,0
ENSMUSG00000003316.14	1040,1856,1152	746,979,900
ENSMUSG00000003341.9	1,0,0	0,0,0
ENSMUSG00000003344.14	200,310,200	137,209,200
ENSMUSG00000003345.16	523,729,712	425,597,569
ENSMUSG00000003346.14	233,257,207	193,301,242
ENSMUSG00000003348.10	77,141,75	95,102,80
ENSMUSG00000003352.14	77,71,96	31,16,12
ENSMUSG00000003354.6	0,2,0	0,1,0
ENSMUSG00000003355.7	9,13,10	4,26,21
ENSMUSG00000003360.15	385,472,324	310,483,448
ENSMUSG00000003363.15	180,359,163	95,133,121
ENSMUSG00000003378.9	111,322,130	51,58,48
ENSMUSG00000003379.7	0,0,0	0,1,0
ENSMUSG00000003380.11	521,769,569	475,707,637
ENSMUSG00000003382.18	209,302,297	180,232,191
ENSMUSG00000003402.14	176,346,196	185,310,284
ENSMUSG00000003410.8	0,0,0	1,0,0
ENSMUSG00000003411.10	4,0,8	1,1,2
ENSMUSG00000003418.11	14,5,23	18,21,42
ENSMUSG00000003420.8	451,1400,477	182,284,269
ENSMUSG00000003421.13	127,192,132	127,199,157
ENSMUSG00000003423.15	79,58,74	83,106,99
ENSMUSG00000003429.11	775.04,1099.77,637.74	1054.74,1384.23,1379.71
ENSMUSG00000003435.9	521,550,660	614,757,716
ENSMUSG00000003436.11	0,0,0	0,0,0
ENSMUSG00000003437.14	189,212,179	104,167,157
ENSMUSG00000003438.17	100,176,126	196,295,290
ENSMUSG00000003444.8	42,48,55	58,97,100
ENSMUSG00000003452.15	61,36,17	13,12,9
ENSMUSG00000003458.12	307,351,292	225,250,316
ENSMUSG00000003464.13	356,475,411	365,498,582
ENSMUSG00000003469.9	1,48,30	1,12,0
ENSMUSG00000003476.16	109,2,125	73,50,128
ENSMUSG00000003477.5	135,126,43	15,18,3
ENSMUSG00000003484.4	6,8,0	16,11,10
ENSMUSG00000003500.13	101,139,147	133,195,182
ENSMUSG00000003505.15	0,0,0	0,0,0
ENSMUSG00000003518.13	627,615,693	572,761,671
ENSMUSG00000003526.12	136,244,115	44,46,87
ENSMUSG00000003527.9	94,107,84	58,81,77
ENSMUSG00000003528.15	182,583,61	45,48,39
ENSMUSG00000003531.15	132,142,106	86,129,141
ENSMUSG00000003534.17	266,311,187	149,179,226
ENSMUSG00000003541.6	84,82,77	105,99,42
ENSMUSG00000003545.3	8,17,36	49,54,48
ENSMUSG00000003546.10	85,97,114	95,140,118
ENSMUSG00000003549.9	95,81,83	118,182,165
ENSMUSG00000003555.7	0,0,0	0,0,0
ENSMUSG00000003559.7	93,16,123	72,108,89
ENSMUSG00000003573.15	56,109,105	42,52,63
ENSMUSG00000003575.13	126,233,146	108,121,123
ENSMUSG00000003581.14	87,113,70	48,68,62
ENSMUSG00000003585.13	20,27,7	7,3,19
ENSMUSG00000003604.14	22,23,19	27,24,37
ENSMUSG00000003617.16	431,495,304	69,93,104
ENSMUSG00000003623.4	166,236,99	57,85,95
ENSMUSG00000003644.17	37,48,25	56,37,46
ENSMUSG00000003657.9	0,0,0	0,0,0
ENSMUSG00000003660.10	844,1079,835	874,1133,1147
ENSMUSG00000003662.10	147,116,74	87,140,118
ENSMUSG00000003665.7	4,40,0	13,18,8
ENSMUSG00000003680.15	44,51,25	44,64,47
ENSMUSG00000003721.14	151,119,168	186,269,239
ENSMUSG00000003731.13	446,334,552	606,759,833
ENSMUSG00000003746.16	482,1390,337	238,265,378
ENSMUSG00000003752.9	70,61,38	133,126,113
ENSMUSG00000003762.13	61,107,31	47,70,68
ENSMUSG00000003778.14	180,278,263	164,114,183
ENSMUSG00000003779.15	3,6,16	1,9,12
ENSMUSG00000003808.18	67,89,111	148,126,148
ENSMUSG00000003809.14	97,101,100	52,93,62
ENSMUSG00000003810.12	978,657,1181	1221,1404,1837
ENSMUSG00000003812.13	23,67,11	34,40,21
ENSMUSG00000003813.15	309,216,343	417,575,520
ENSMUSG00000003814.8	1120,2757,1078	1771,2955,1913
ENSMUSG00000003824.12	1,7,2	10,6,4
ENSMUSG00000003847.16	691,1580,735	1379,1079,948
ENSMUSG00000003848.14	114,88,108	156,173,131
ENSMUSG00000003849.8	138,4,156	20,40,30
ENSMUSG00000003863.18	1,0,8	0,2,2
ENSMUSG00000003865.16	1801,324,2307	3307,4446,5002
ENSMUSG00000003868.14	126,170,136	194,260,274
ENSMUSG00000003872.9	0,0,0	0,0,0
ENSMUSG00000003873.11	42,85,32	83.91,106,81
ENSMUSG00000003882.5	6,6,16	2,0,3
ENSMUSG00000003923.14	138,95,129	131,220,225
ENSMUSG00000003929.11	31,65,26	32,33,50
ENSMUSG00000003934.5	43,21,1	0,2,0
ENSMUSG00000003948.17	293.66,330.82,100	63.24,89.6,107.35
ENSMUSG00000003949.16	155,227,156	43,48,85
ENSMUSG00000003955.8	106,58,151	146,166,146
ENSMUSG00000003970.9	1240,1933,1254	2309,3094,2941
ENSMUSG00000003974.6	0,0,0	0,0,0
ENSMUSG00000003992.15	98,149,108	57.51,77,68.89
ENSMUSG00000004018.9	8,1,3	7,7,8
ENSMUSG00000004031.13	23,0,70	2,6,0
ENSMUSG00000004032.10	118,64,147	139,155,208
ENSMUSG00000004035.12	1,6,22	4,6,18
ENSMUSG00000004038.9	1.04,0,0	0,0,0
ENSMUSG00000004040.16	820,983,819	1323,1340,1260
ENSMUSG00000004043.14	170.4,291.55,163.59	99.93,101.91,157.58
ENSMUSG00000004044.9	4782,6503,3103	2691,3959,3867
ENSMUSG00000004054.8	315,315,292	191,237,257
ENSMUSG00000004056.15	884.04,1113.23,796.47	783.25,996.95,1061.38
ENSMUSG00000004069.17	320,233,321	520,814,756
ENSMUSG00000004070.15	119,116,104	178,216,210
ENSMUSG00000004071.13	235,228,235	411,428,474
ENSMUSG00000004085.14	2340,561,2961	3528,4297,5051
ENSMUSG00000004096.9	118,191,134	136,155,207
ENSMUSG00000004098.7	980,453,597	764,735,782
ENSMUSG00000004099.16	192,379,163	246,321,272
ENSMUSG00000004100.12	46,131,62	113,108,134
ENSMUSG00000004105.8	530,1125,741	596,629,549
ENSMUSG00000004110.16	16,9,10	11,20,18
ENSMUSG00000004113.18	0,5,0	2,2,0
ENSMUSG00000004127.12	14,18,14	11,13,29
ENSMUSG00000004151.17	49.97,147.47,83.8	10,40.7,40.85
ENSMUSG00000004187.11	32,55,23	6,4,7
ENSMUSG00000004207.14	3860,5185,3573	2323,3221,2650
ENSMUSG00000004221.16	192,173,230	187,187,235
ENSMUSG00000004231.15	0,0,0	0,0,0
ENSMUSG00000004233.14	28,60,28	34,46,35
ENSMUSG00000004263.15	400.13,748,378	296,341,406.93
ENSMUSG00000004264.17	358,280,561	605,892,898
ENSMUSG00000004266.15	20,82,14	57,57,46
ENSMUSG00000004267.16	28,22,10	49,22,22
ENSMUSG00000004268.11	118,171,88	235,278,247
ENSMUSG00000004270.13	91,117,95	60,105,109
ENSMUSG00000004285.12	115,165,121.54	100,154,145
ENSMUSG00000004296.14	0,0,0	3,0,0
ENSMUSG00000004317.14	48,116,68	73,110,119
ENSMUSG00000004319.15	270,98,217	195,294,336
ENSMUSG00000004328.15	55,14,2	7,9,23
ENSMUSG00000004341.8	0,0,0	0,0,0
ENSMUSG00000004344.12	0,0,0	0,0,0
ENSMUSG00000004347.16	3,0,4	7,8,22
ENSMUSG00000004356.8	179,267,179	310,383,359
ENSMUSG00000004359.16	0,0,0	0,0,0
ENSMUSG00000004360.9	88,158,127	52,55,104
ENSMUSG00000004364.14	566,422,586	566,668,846
ENSMUSG00000004366.4	0,0,0	0,0,0
ENSMUSG00000004371.15	3,0,0	1,1,2
ENSMUSG00000004383.18	372,255,379	388,433,431
ENSMUSG00000004393.10	166,108,215	266,321,244
ENSMUSG00000004394.12	273,284,298	267,392,397
ENSMUSG00000004415.15	28,0,49	18,8,9
ENSMUSG00000004446.12	17,42,3	9,12,32
ENSMUSG00000004451.14	149,216,207	183,242,229
ENSMUSG00000004455.16	343.93,363.31,316.39	439.14,642.67,630.98
ENSMUSG00000004460.17	162,342,219	212,380,255
ENSMUSG00000004462.7	39,48,15	22,33,54
ENSMUSG00000004473.10	119,856,210	71,84,49
ENSMUSG00000004500.9	81,100,81	42,58,61
ENSMUSG00000004508.6	352,726,457	327,420,313
ENSMUSG00000004530.12	396,843,515	427,468.91,445
ENSMUSG00000004535.12	495,482,406	422,504,605
ENSMUSG00000004540.7	1,0,0	2,0,0
ENSMUSG00000004542.15	0,0,0	0,0,0
ENSMUSG00000004552.16	0,0,0	0,0,0
ENSMUSG00000004558.15	3095,479,3826	2896,4053,4229
ENSMUSG00000004561.14	25,29,18	47,53,60
ENSMUSG00000004562.16	410,997,412	264,353,312
ENSMUSG00000004565.15	131,165,113	44,58,58
ENSMUSG00000004567.16	80,115,106	74,102,95
ENSMUSG00000004568.12	188,502,240	176,231,201
ENSMUSG00000004591.16	414,335,369	385,383,488
ENSMUSG00000004609.11	16,61,39	21,15,23
ENSMUSG00000004610.4	742.85,387,785	663,1102.71,738.68
ENSMUSG00000004612.9	0,0,0	0,1,0
ENSMUSG00000004626.14	42,19,27	27,31,30
ENSMUSG00000004630.18	0,0,0	0,0,0
ENSMUSG00000004631.15	107,195,132	68,79,61
ENSMUSG00000004633.17	36,27,31	27,31,14
ENSMUSG00000004637.15	39,60,42	21,34,38
ENSMUSG00000004642.13	47,96,41	49,53,47
ENSMUSG00000004651.6	0,0,0	0,0,0
ENSMUSG00000004654.6	0,5,0	0,0,0
ENSMUSG00000004655.5	3869,1042,2989	1951,3067,2506
ENSMUSG00000004661.15	39,46,16	22,29,15
ENSMUSG00000004665.10	190,391,281	245,258,190
ENSMUSG00000004667.18	129,154,167	204,257,260
ENSMUSG00000004668.14	0,0,0	0,0,0
ENSMUSG00000004677.17	498,1038,458	449,508,423
ENSMUSG00000004698.10	41,17,73	53,38,51
ENSMUSG00000004707.14	1,2,0	1,4,8
ENSMUSG00000004709.14	4,6,5	13,5,8
ENSMUSG00000004730.15	60,100,49	81,79,91
ENSMUSG00000004748.5	60,32,99	87,200,141
ENSMUSG00000004768.14	96,242,86	70,68,83
ENSMUSG00000004771.12	236,178,180	162,258,278
ENSMUSG00000004788.11	86,109,96	135,169,168
ENSMUSG00000004789.10	861,346,1127	1436,1986,1985
ENSMUSG00000004791.7	19,49,19	52,36,46
ENSMUSG00000004798.14	551,537,401	215,380,434
ENSMUSG00000004814.10	2,19,4	2,4,5
ENSMUSG00000004815.12	77,129,110	46,72,79
ENSMUSG00000004821.1	0,0,0	0,0,0
ENSMUSG00000004837.2	44,61,60	22,31,41
ENSMUSG00000004842.18	0,0,0	0,0,0
ENSMUSG00000004843.7	121,160,135	130,136,154
ENSMUSG00000004846.10	302,484,263	283,344,363
ENSMUSG00000004849.14	52,147,67	92,140,143
ENSMUSG00000004864.13	0,0,4	0,0,0
ENSMUSG00000004865.16	188,240,161	244,241,266
ENSMUSG00000004872.15	1,0,0	0,0,0
ENSMUSG00000004880.11	224,225,222	201,282,274
ENSMUSG00000004885.5	6,0,8	3,1,1
ENSMUSG00000004891.16	830,150,1571	1532,1629,1345
ENSMUSG00000004892.13	0,0,10	0,0,0
ENSMUSG00000004894.10	2,0,3	1,0,1
ENSMUSG00000004895.9	196,239,226	262,353,332
ENSMUSG00000004896.16	37,69,20	33,29,44
ENSMUSG00000004897.16	697,804,825	964,1287,1185
ENSMUSG00000004902.7	1,0,0	2,0,0
ENSMUSG00000004929.12	98,160,120	148,160,189
ENSMUSG00000004931.11	304,308,434	365,522,449
ENSMUSG00000004933.17	10,8,0	2,6,6
ENSMUSG00000004934.14	79,165,115	141,162,134
ENSMUSG00000004936.8	211,291,285	292,390,319
ENSMUSG00000004937.6	385,259,372	472,625,555
ENSMUSG00000004939.7	38,2,20	1625,2245,1534
ENSMUSG00000004945.15	271,225,203	262,322,331
ENSMUSG00000004947.15	85,183,90	59,67,62
ENSMUSG00000004948.12	0,0,0	0,0,0
ENSMUSG00000004951.10	1057.54,526,1402.21	5517.43,4933.98,4748.22
ENSMUSG00000004952.13	477,200,395	122,142,113
ENSMUSG00000004961.7	0,0,0	2,0,3
ENSMUSG00000004980.16	691,703,554	705,762,742
ENSMUSG00000004988.9	0,0,0	0,0,0
ENSMUSG00000004994.12	34,33,15	35,59,40
ENSMUSG00000004996.9	60,79,97	84,113,106
ENSMUSG00000005034.15	320,360,276	328,367,425
ENSMUSG00000005043.13	83,189,89	48,84,89
ENSMUSG00000005045.16	36,323,73	5,10,3
ENSMUSG00000005054.7	36,49,39	41,56,53
ENSMUSG00000005057.13	66,180,38	78,57,79
ENSMUSG00000005069.12	233,291,288	226,254,266
ENSMUSG00000005078.16	32,111,45	58,78,68
ENSMUSG00000005087.17	168,355,238	575,597,408
ENSMUSG00000005089.15	3,13,0	0,4,5
ENSMUSG00000005102.13	100,148,91	63,62,99
ENSMUSG00000005103.12	627,563,771	1628,1883,2156
ENSMUSG00000005107.13	12,16,9	11,13,21
ENSMUSG00000005124.10	43,39,34	83,61,42
ENSMUSG00000005125.13	1386,1200,553	270,360,144
ENSMUSG00000005131.4	2,0,3	0,2,0
ENSMUSG00000005142.10	242,430,298	178,179,205
ENSMUSG00000005148.8	155,131,114	113,154,110
ENSMUSG00000005150.16	58,30,62	52,88,81
ENSMUSG00000005161.15	369,381,450	409,688.84,607.92
ENSMUSG00000005198.15	637,772,575	617,665,617
ENSMUSG00000005202.2	0,0,0	0,0,0
ENSMUSG00000005204.12	168,235,167	204,243,211
ENSMUSG00000005220.10	0,0,9	0,3,0
ENSMUSG00000005225.15	90,80,62.29	71.92,79.92,100.34
ENSMUSG00000005232.11	0,0,0	0,0,0
ENSMUSG00000005233.16	2,0,0	0,3,1
ENSMUSG00000005237.14	13,32,2	7,5,6
ENSMUSG00000005251.15	0,0,0	0,0,8
ENSMUSG00000005262.13	154,171,148	206,262,212
ENSMUSG00000005267.13	44,33,14	21,17,23
ENSMUSG00000005268.20	16,26,0	6,1,5
ENSMUSG00000005299.6	395,309,512	451,695,650
ENSMUSG00000005312.15	436,521,454	575,721,674
ENSMUSG00000005320.9	6,2,5	23,32,49
ENSMUSG00000005338.13	347,989.27,135	151,121,70
ENSMUSG00000005339.10	0,1,0	0,0,0
ENSMUSG00000005354.16	408,218,421	681,923,901
ENSMUSG00000005355.9	0,0,0	0,0,0
ENSMUSG00000005357.9	0,0,3	3,0,0
ENSMUSG00000005360.14	386,991,147	99,107,205
ENSMUSG00000005362.14	173,127,131	92,87,121
ENSMUSG00000005364.11	1,0,0	0,0,0
ENSMUSG00000005370.4	123,168,70	91,80,72
ENSMUSG00000005371.15	259,356,212	232,244,262
ENSMUSG00000005373.13	266,271,315	276,211,283
ENSMUSG00000005374.13	126,277,158	128,157,176
ENSMUSG00000005378.17	36,49,83	94,111,79
ENSMUSG00000005397.8	2425.15,4806.38,2031.47	1460,1672.59,1641.71
ENSMUSG00000005410.6	20,37,18	52,90,63
ENSMUSG00000005413.8	96,105,69	198,168,164
ENSMUSG00000005417.17	2087.42,2380.63,1551.61	1378.68,1723.86,1825.78
ENSMUSG00000005442.13	799,1244,875	571,722,774
ENSMUSG00000005447.12	0,11,0	9,8,29
ENSMUSG00000005465.9	3,3,1	4,3,3
ENSMUSG00000005469.10	604,413,699	484,792,783
ENSMUSG00000005470.8	6,0,4	11,10,12
ENSMUSG00000005474.9	0,0,0	8,9,23
ENSMUSG00000005481.18	49,30,56	129,167,168
ENSMUSG00000005483.10	111,205,94	132,141,109
ENSMUSG00000005493.15	0,0,6	2,1,0
ENSMUSG00000005501.14	129,154,105	133,159,183
ENSMUSG00000005503.8	0,0,0	0,0,0
ENSMUSG00000005505.12	53,37,48	47,69,90
ENSMUSG00000005506.16	627,598,699	744,934,1006
ENSMUSG00000005510.9	420.74,100,462.5	440.35,663.95,726.66
ENSMUSG00000005514.14	507,999,242	274,292,432
ENSMUSG00000005533.10	520,782,372	619,684,649
ENSMUSG00000005534.10	1040,757,843	767,1022,897
ENSMUSG00000005540.10	0,0,2	0,0,0
ENSMUSG00000005547.14	0,0,0	0,0,0
ENSMUSG00000005553.14	0,0,0	0,0,0
ENSMUSG00000005566.14	389,472,450	445,588,462
ENSMUSG00000005575.16	161,200,223	285,408,381
ENSMUSG00000005580.11	358,240,343	291,296,359
ENSMUSG00000005583.16	2209,260,2893	1821,2469,3231
ENSMUSG00000005609.16	159,177,153	150,172,174
ENSMUSG00000005610.17	3533,2642,3473	4323,4892,6243
ENSMUSG00000005611.15	176,139,139	39,122,111
ENSMUSG00000005615.15	469,482,493	592,736,800
ENSMUSG00000005621.11	395,519,409	368,468,449
ENSMUSG00000005625.15	462,408,576	809,1014,950
ENSMUSG00000005628.12	736,3,894	725,889,1028
ENSMUSG00000005640.11	0,0,0	0,0,1
ENSMUSG00000005649.17	0,0,2	0,0,0
ENSMUSG00000005656.9	109,195,115	95,133,99
ENSMUSG00000005667.8	23,71,100	88,134,79
ENSMUSG00000005672.12	42,62,34	29,31,29
ENSMUSG00000005674.9	149,77,94	168,243,255
ENSMUSG00000005677.14	0,0,0	0,0,0
ENSMUSG00000005681.12	0,0,0	6,0,0
ENSMUSG00000005682.9	138,112,105	63,80,99
ENSMUSG00000005683.8	1855,721,2312	2121,3010,3130
ENSMUSG00000005686.17	288,183,236	756,638,619
ENSMUSG00000005687.14	103,35,74	83,133,102
ENSMUSG00000005696.11	0,0,0	0,0,0
ENSMUSG00000005698.15	265,381,239	220,247,281
ENSMUSG00000005699.16	19,23,4	9,25,11
ENSMUSG00000005705.10	0,0,2	13,8,6
ENSMUSG00000005716.16	2575,24,2109	4249,2869,4624
ENSMUSG00000005718.8	41,64,8	14,21,40
ENSMUSG00000005732.14	73,129,96	169,227,175
ENSMUSG00000005763.15	4,22,11	3,1,1
ENSMUSG00000005774.12	64,95,33	27,45,37
ENSMUSG00000005779.12	434,354,585	778,1001,877
ENSMUSG00000005800.3	0,0,2	0,0,0
ENSMUSG00000005802.12	160,243,121	268,273,355
ENSMUSG00000005803.14	102,130,99	48,62,50
ENSMUSG00000005804.14	67,100,106	88,112,139
ENSMUSG00000005813.12	212,76,115	320,356,430
ENSMUSG00000005823.9	163,421,183	135,196,178
ENSMUSG00000005824.7	0,2,0	6,2,2
ENSMUSG00000005836.10	48,25,17	6,17,10
ENSMUSG00000005846.12	191,165,160	434,447,495
ENSMUSG00000005864.7	1,6,0	0,0,0
ENSMUSG00000005871.14	682,802,695	560,466.93,773.77
ENSMUSG00000005873.5	690,1160,705	442,649,537
ENSMUSG00000005881.13	184,506,267	133,181,132
ENSMUSG00000005882.18	215,60,226	387,490,442
ENSMUSG00000005883.15	0,0,0	0,0,0
ENSMUSG00000005886.14	418,665,357	212,256,377
ENSMUSG00000005891.7	0,0,0	0,0,0
ENSMUSG00000005892.4	0,0,0	0,0,0
ENSMUSG00000005893.14	411,609,340	215,313,348
ENSMUSG00000005897.14	86,62,42	49,44,49
ENSMUSG00000005899.14	105,101,86	76,103,133
ENSMUSG00000005907.14	50,49,98	65,66,53
ENSMUSG00000005917.15	0,0,0	0,0,0
ENSMUSG00000005936.19	304,429,247	241,271,233
ENSMUSG00000005947.11	0,9,22	4,0,1
ENSMUSG00000005949.9	59,114,40	66,62,39
ENSMUSG00000005950.14	68,51,80	184,204,212
ENSMUSG00000005951.13	50,47,11	9,13,7
ENSMUSG00000005952.15	6,19,2	3,3,16
ENSMUSG00000005958.15	89,321,130	65,77,58
ENSMUSG00000005968.14	25,173,36	15,10,2
ENSMUSG00000005973.6	211,312,118	109,144,131
ENSMUSG00000005980.15	0,0,0	0,0,0
ENSMUSG00000005981.11	398,336,386	475,583,580
ENSMUSG00000005982.13	173,394,174.01	147,192,189
ENSMUSG00000005983.15	11,3,9	11,21,37
ENSMUSG00000005986.15	16,5,0	6,1,3
ENSMUSG00000005994.14	0,0,0	0,0,0
ENSMUSG00000006005.18	734,683,783	814,480,1219
ENSMUSG00000006007.14	0,0,0	0,0,0
ENSMUSG00000006010.14	157,226,143	109,126,178
ENSMUSG00000006014.16	370,5182,1174	798,950,525
ENSMUSG00000006019.15	105,171,67	62,79,83
ENSMUSG00000006021.5	29,41,30	12,36,24
ENSMUSG00000006024.13	339,393,305	536,585,639
ENSMUSG00000006050.11	232,240,211	177,213,264
ENSMUSG00000006056.13	0,0,0	0,0,0
ENSMUSG00000006057.15	1006,128,1125.16	1136.9,1680.55,1705.06
ENSMUSG00000006058.10	77.46,41,68	68,106.5,70
ENSMUSG00000006095.12	112,117,157	135,202,199
ENSMUSG00000006127.9	184,241,125	119,169,147
ENSMUSG00000006134.4	291,289,269	348,441,391
ENSMUSG00000006143.12	0,0,0	1,0,0
ENSMUSG00000006154.13	48,19,7	12,7,12
ENSMUSG00000006169.19	325,573,427	361,465,362
ENSMUSG00000006179.9	1,0,0	0,0,0
ENSMUSG00000006191.17	116,137,98	157,127,187
ENSMUSG00000006200.3	0,0,0	0,0,0
ENSMUSG00000006204.6	0,0,0	0,0,0
ENSMUSG00000006205.13	345,1406,500	127,182,193
ENSMUSG00000006215.12	161,109,234	197,349,266
ENSMUSG00000006216.10	0,0,0	10,4,5
ENSMUSG00000006218.4	0,7,12	3,2,2
ENSMUSG00000006219.12	81,23,26	24,48,35
ENSMUSG00000006221.7	4026,59,6495	30209,30205,34645
ENSMUSG00000006235.6	5,1,3	1,6,0
ENSMUSG00000006241.16	10,17,4	2,4,0
ENSMUSG00000006262.15	176,186,175	210,196,273
ENSMUSG00000006269.7	0,0,0	0,0,0
ENSMUSG00000006270.7	0,0,0	0,0,0
ENSMUSG00000006273.14	318,301,275	863,1000,821
ENSMUSG00000006276.10	231,394,238	214,262,209
ENSMUSG00000006281.8	231,470,163	148,162,194
ENSMUSG00000006288.8	85.92,198,46	51,73,61
ENSMUSG00000006289.14	111,94,81	120,120,156
ENSMUSG00000006299.13	303,360,252	312,426,349
ENSMUSG00000006301.17	445,794,475	655,881,749
ENSMUSG00000006304.14	369,595,365	678,760.99,770
ENSMUSG00000006307.16	438,525,458	305,357,367
ENSMUSG00000006310.10	0,1,0	0,0,0
ENSMUSG00000006311.8	0,0,0	0,0,0
ENSMUSG00000006313.5	0,0,0	0,4,7
ENSMUSG00000006315.9	165,92,197	190,347,261
ENSMUSG00000006333.14	1120.15,1487.74,975	1406.46,2057.74,1911.45
ENSMUSG00000006335.16	28,44,35	44,57,49
ENSMUSG00000006342.15	118,159,88	44,75,79
ENSMUSG00000006344.17	56,83,55	38,70,51
ENSMUSG00000006345.10	0,0,0	0,0,0
ENSMUSG00000006356.10	446,731,363	337,523,488
ENSMUSG00000006360.11	700,1263,506	612,785,709
ENSMUSG00000006362.16	311,185,357	144,218,155
ENSMUSG00000006369.14	416,4489,814	338,651,111
ENSMUSG00000006373.10	224,424,192	124,137,141
ENSMUSG00000006378.15	19.31,30,30.78	24,27.43,44
ENSMUSG00000006386.15	425,328,244	123,222,185
ENSMUSG00000006389.13	5,0,0	0,0,0
ENSMUSG00000006390.15	115,185,40	75,86,71
ENSMUSG00000006392.16	88,108,81	131,165,144
ENSMUSG00000006395.16	18,59,0	5,18,16
ENSMUSG00000006398.15	11,45,18	5,13,9
ENSMUSG00000006403.13	20,6,8	139,96,80
ENSMUSG00000006411.12	1,0,7	4,2,3
ENSMUSG00000006412.10	77,22,81	100,154,139
ENSMUSG00000006418.17	131,124,113	187,207,178
ENSMUSG00000006423.15	115.98,178.97,49	66.36,95.75,91.6
ENSMUSG00000006435.15	342,28,533	684,844,766
ENSMUSG00000006442.10	71,159,113	196,206,174
ENSMUSG00000006445.3	129,101,74	108,127,126
ENSMUSG00000006456.10	178.2,363.64,201.04	225.11,207.5,209.09
ENSMUSG00000006457.3	5396.73,35,4588	9329,7249,13462.36
ENSMUSG00000006462.6	22,39,12	13,10,12
ENSMUSG00000006463.13	15,59,38	17,12,17
ENSMUSG00000006464.8	53,102,35	33,46,41
ENSMUSG00000006469.13	0,0,0	0,0,0
ENSMUSG00000006471.18	80,178.1,59.78	56.38,77.01,63.58
ENSMUSG00000006476.19	215,284,153	149,169,175
ENSMUSG00000006488.17	0,0,0	0,0,0
ENSMUSG00000006490.3	0,0,0	0,0,0
ENSMUSG00000006494.11	387,191,472	440,498,580
ENSMUSG00000006498.16	430,865.84,401	570,647.48,567
ENSMUSG00000006517.5	52,25,62	60,55,77
ENSMUSG00000006519.11	60,148,123	111,105,72
ENSMUSG00000006522.17	3,0,1	2,1,0
ENSMUSG00000006526.13	118,286,182	64,98,92
ENSMUSG00000006527.16	148,129,132	123,107,145
ENSMUSG00000006529.16	0,0,0	0,0,0
ENSMUSG00000006538.12	0,21,0	0,0,0
ENSMUSG00000006542.13	61,1,77	32,47,73
ENSMUSG00000006546.3	0,0,0	0,0,0
ENSMUSG00000006567.11	2,0,0	0,0,0
ENSMUSG00000006570.3	0,0,0	0,0,0
ENSMUSG00000006574.15	0,0,1	0,0,1
ENSMUSG00000006575.14	3,0,0	0,0,0
ENSMUSG00000006576.16	189,144,259	155,185,165
ENSMUSG00000006585.3	15,29,24	25,62,38
ENSMUSG00000006586.15	45,154,36	30,50,35
ENSMUSG00000006587.6	153,0,149	170,225,251
ENSMUSG00000006589.8	83,73,86	155,124,145
ENSMUSG00000006599.13	115,169,135	141,133,169
ENSMUSG00000006611.15	109,205,77	57,76,88
ENSMUSG00000006638.14	13,33,2	0,6,2
ENSMUSG00000006641.12	29,121,26	46,74,83
ENSMUSG00000006642.3	0,0,0	0,3,0
ENSMUSG00000006649.17	0,0,0	0,0,0
ENSMUSG00000006651.8	20,34,22	18,24,25
ENSMUSG00000006673.14	344.6,478,383	419.82,475,489
